,year,latitude,longitude,precipitation_winter,precipitation_summer,precipitation_annual,volwater_winter,volwater_spring,volwater_summer,volwater_fall
26,1990,37.60413,-110.0472,3.52,5.41,4.63,,,,
27,1990,37.60413,-110.0472,,,,0.0441438871862895,0.0438770082230201,0.0418545418777248,0.0771023444667715
28,1991,37.60413,-110.0472,4.85,6.39,6.39,,,,
29,1991,37.60413,-110.0472,,,,0.0871769107161254,0.0817615782191593,0.0421038972135905,0.0707375484433581
30,1992,37.60413,-110.0472,6.39,5.95,6.39,,,,
31,1992,37.60413,-110.0472,,,,0.114396357327604,0.094504902193448,0.0421187280018565,0.0584218588480648
32,1993,37.60413,-110.0472,13.81,5.55,6.76,,,,
33,1993,37.60413,-110.0472,,,,0.106751950562354,0.0924280482671131,0.0430715815007514,0.0719443555572886
34,1994,37.60413,-110.0472,3.23,2.56,6.77,,,,
35,1994,37.60413,-110.0472,,,,0.0749258422098784,0.0538488245108274,0.041020681830401,0.058611479505083
36,1995,37.60413,-110.0472,7.22,6.76,6.76,,,,
37,1995,37.60413,-110.0472,,,,0.114706606442884,0.0896870196667779,0.0423227080435721,0.0423339853165871
38,1996,37.60413,-110.0472,2.93,4.72,2.93,,,,
39,1996,37.60413,-110.0472,,,,0.0469670897863847,0.0423820689078954,0.0415685390386833,0.0874889805426183
40,1997,37.60413,-110.0472,8.04,9.18,11.2,,,,
41,1997,37.60413,-110.0472,,,,0.135454170211653,0.0927752375046789,0.0485792226443798,0.0742889049752868
42,1998,37.60413,-110.0472,5.19,5.69,5.57,,,,
43,1998,37.60413,-110.0472,,,,0.0947037592345168,0.0696585449789024,0.0425703308608947,0.0857996897702459
44,1999,37.60413,-110.0472,2.66,14.56,14.56,,,,
45,1999,37.60413,-110.0472,,,,0.112194846200622,0.0723664973476061,0.0486476109817655,0.0424101112321217
46,2000,37.60413,-110.0472,5.1,4.78,5.1,,,,
47,2000,37.60413,-110.0472,,,,0.0591387650422016,0.0659938551975264,0.0413455960502668,0.0816975218557855
48,2001,37.60413,-110.0472,6.24,8.13,3.07,,,,
49,2001,37.60413,-110.0472,,,,0.116892417662054,0.0912681127974929,0.0433898289067058,0.0428024625700281
50,2002,37.60413,-110.0472,2.21,3.0,1.76,,,,
51,2002,37.60413,-110.0472,,,,0.0617277906029951,0.0426256307963939,0.0410167565510935,0.0950089223196655
52,2003,37.60413,-110.0472,5.99,5.4,5.4,,,,
53,2003,37.60413,-110.0472,,,,0.0868988046275972,0.0892255881461186,0.0419645236434049,0.0884285920253004
54,2004,37.60413,-110.0472,6.1,2.76,6.1,,,,
55,2004,37.60413,-110.0472,,,,0.105603217401776,0.0852242372283227,0.0412707497231624,0.103057402334213
56,2005,37.60413,-110.0472,13.1,8.14,7.71,,,,
57,2005,37.60413,-110.0472,,,,0.137671639059951,0.092659587059004,0.044191521144267,0.0561705207980779
58,2006,37.60413,-110.0472,1.83,7.13,6.83,,,,
59,2006,37.60413,-110.0472,,,,0.0497467767662785,0.0664845624541717,0.0420795852047786,0.0998262324942915
60,2007,37.60413,-110.0472,3.39,7.59,7.59,,,,
61,2007,37.60413,-110.0472,,,,0.0934016614531522,0.0575803823591505,0.0430131858331003,0.0562211618790666
62,2008,37.60413,-110.0472,13.12,6.65,13.12,,,,
63,2008,37.60413,-110.0472,,,,0.122014714418379,0.0849853764169593,0.0430971158888598,0.0446319812306767
64,2009,37.60413,-110.0472,5.99,2.48,4.08,,,,
65,2009,37.60413,-110.0472,,,,0.0973876689840695,0.0700956471778924,0.0411341066112138,0.0446009228324744
66,2010,37.60413,-110.0472,12.04,9.85,4.29,,,,
67,2010,37.60413,-110.0472,,,,0.0557764055443238,0.0885843065209652,0.0475040122773338,0.0547569057789949
68,2011,37.60413,-110.0472,5.5,5.66,5.66,,,,
69,2011,37.60413,-110.0472,,,,0.0796443196114711,0.0588725407761597,0.0415907974382192,0.0533972536997604
70,2012,37.60413,-110.0472,5.47,6.7,5.47,,,,
71,2012,37.60413,-110.0472,,,,0.0733860867629435,0.0568475163491914,0.0440265222780885,0.046226519270137
72,2013,37.60413,-110.0472,7.25,7.91,15.4,,,,
73,2013,37.60413,-110.0472,,,,0.0885561498970896,0.075527678296766,0.0451332409581489,0.109409101454101
74,2014,37.60413,-110.0472,3.92,6.9,3.59,,,,
75,2014,37.60413,-110.0472,,,,0.117244940065763,0.0689349693953318,0.0431885754894483,0.0640772126711979
76,2015,37.60413,-110.0472,7.25,13.03,13.03,,,,
77,2015,37.60413,-110.0472,,,,0.0816188315207987,0.0836938149258319,0.0474263924244372,0.0907336875533358
78,2016,37.60413,-110.0472,6.89,6.91,6.89,,,,
79,2016,37.60413,-110.0472,,,,0.116631081131157,0.0827914776542404,0.0433475440820108,0.0454958708444396
80,2017,37.60413,-110.0472,9.64,6.1,2.8,,,,
81,2017,37.60413,-110.0472,,,,0.0986869507612903,0.0795167171427424,0.042222380231534,0.0425112543794443
82,2018,37.60413,-110.0472,2.67,4.48,2.92,,,,
83,2018,37.60413,-110.0472,,,,0.0454575432565443,0.042141709470116,0.0416131465340231,0.0929252844030823
84,1980,37.60334,-110.0461,13.79,2.69,6.37,,,,
85,1980,37.60334,-110.0461,,,,0.121346385174498,0.0946718064393262,0.0473425788615667,0.0579732130444053
86,1981,37.60334,-110.0461,2.25,9.39,2.25,,,,
87,1981,37.60334,-110.0461,,,,0.054806596388077,0.0637458146688761,0.0484231069505938,0.0981219103165538
88,1982,37.60334,-110.0461,4.12,9.5,9.5,,,,
89,1982,37.60334,-110.0461,,,,0.105490228592474,0.0658434918212244,0.0518720339140509,0.0723110572839497
90,1983,37.60334,-110.0461,7.09,10.22,10.8,,,,
91,1983,37.60334,-110.0461,,,,0.125032656627392,0.103962908379187,0.0502760164012108,0.0778360219005284
92,1984,37.60334,-110.0461,4.77,9.49,8.17,,,,
93,1984,37.60334,-110.0461,,,,0.115396684113777,0.0665854298235936,0.0490419314305851,0.0763558485463378
94,1985,37.60334,-110.0461,7.66,4.81,7.66,,,,
95,1985,37.60334,-110.0461,,,,0.117805450210073,0.105438022232974,0.0493428424636598,0.111592383330858
96,1986,37.60334,-110.0461,2.19,9.85,9.85,,,,
97,1986,37.60334,-110.0461,,,,0.11438732889139,0.064142902263933,0.050322352658537,0.112806178226622
98,1987,37.60334,-110.0461,6.03,11.04,6.14,,,,
99,1987,37.60334,-110.0461,,,,0.12802570269159,0.0842962191638053,0.0553063570467971,0.0874418219228152
100,1988,37.60334,-110.0461,5.44,7.98,4.88,,,,
101,1988,37.60334,-110.0461,,,,0.115032236825931,0.0781691370604204,0.0480690275556591,0.0544999541856545
102,1989,37.60334,-110.0461,5.13,6.69,5.13,,,,
103,1989,37.60334,-110.0461,,,,0.0545701430082707,0.0574145544856669,0.0495920986233013,0.0468584452834434
104,1990,37.60334,-110.0461,3.52,5.41,5.41,,,,
105,1990,37.60334,-110.0461,,,,0.049222176157636,0.0496215231708493,0.0473905200732889,0.0804076406334266
106,1991,37.60334,-110.0461,4.85,6.39,4.79,,,,
107,1991,37.60334,-110.0461,,,,0.0775338546405972,0.0716530663823327,0.0476882951995199,0.0788161297038665
108,1992,37.60334,-110.0461,6.39,5.95,5.89,,,,
109,1992,37.60334,-110.0461,,,,0.115421196561241,0.0900615077866417,0.0477574765584405,0.0651801580751195
110,1993,37.60334,-110.0461,13.81,5.55,13.81,,,,
111,1993,37.60334,-110.0461,,,,0.111973594279471,0.0901924657854208,0.0487814426737924,0.0781994874338222
112,1994,37.60334,-110.0461,3.23,2.56,2.56,,,,
113,1994,37.60334,-110.0461,,,,0.0702040145580657,0.0536894927144106,0.0462799385225083,0.0648722210739932
114,1995,37.60334,-110.0461,7.22,6.76,12.48,,,,
115,1995,37.60334,-110.0461,,,,0.120595641432154,0.0854303115845054,0.0479721107541298,0.0478284710956796
116,1996,37.60334,-110.0461,2.93,4.72,12.72,,,,
117,1996,37.60334,-110.0461,,,,0.0525327650457567,0.0478240829714977,0.0470551391955449,0.0907830608840458
118,1997,37.60334,-110.0461,8.04,9.18,8.04,,,,
119,1997,37.60334,-110.0461,,,,0.140277057295607,0.0852218002562066,0.055738368281419,0.0753724873023635
120,1998,37.60334,-110.0461,5.19,5.69,5.69,,,,
121,1998,37.60334,-110.0461,,,,0.0888366631092515,0.0614984433329468,0.0483253439121294,0.092948786602469
122,1999,37.60334,-110.0461,2.66,14.56,,,,,
123,1999,37.60334,-110.0461,,,,0.112685553178088,0.061995642738808,0.0556441187503871,0.0476302365674173
124,2000,37.60334,-110.0461,5.1,4.78,9.68,,,,
125,2000,37.60334,-110.0461,,,,0.0663582949374345,0.0668319618733996,0.0467270418272073,0.0894263586843956
126,2001,37.60334,-110.0461,6.24,8.13,6.76,,,,
127,2001,37.60334,-110.0461,6.24,8.13,6.76,,,,
128,2001,37.60334,-110.0461,6.24,8.13,6.24,,,,
129,2001,37.60334,-110.0461,6.24,8.13,6.24,,,,
130,2001,37.60334,-110.0461,,,,0.115707979645811,0.0874787730444758,0.0493388186523576,0.0484280310397329
131,2002,37.60334,-110.0461,2.21,3.0,3.0,,,,
132,2002,37.60334,-110.0461,,,,0.0649546005673875,0.0467609939042162,0.046330609266889,0.0898370981242145
133,2003,37.60334,-110.0461,5.99,5.4,,,,,
134,2003,37.60334,-110.0461,,,,0.0680431081951392,0.0790293013418942,0.0475927587688157,0.0856890238688635
135,2004,37.60334,-110.0461,6.1,2.76,5.18,,,,
136,2004,37.60334,-110.0461,6.1,2.76,5.18,,,,
137,2004,37.60334,-110.0461,6.1,2.76,16.59,,,,
138,2004,37.60334,-110.0461,6.1,2.76,16.59,,,,
139,2004,37.60334,-110.0461,,,,0.0943787853995346,0.067932744770919,0.0466889264893816,0.112566749938526
140,2005,37.60334,-110.0461,13.1,8.14,13.1,,,,
141,2005,37.60334,-110.0461,,,,0.144995649545848,0.0834373738877527,0.050081754002163,0.0624852236027787
142,2006,37.60334,-110.0461,1.83,7.13,7.13,,,,
143,2006,37.60334,-110.0461,,,,0.0505879190504486,0.0721005818734756,0.0476907740629008,0.103484555060355
144,2007,37.60334,-110.0461,3.39,7.59,,,,,
145,2007,37.60334,-110.0461,,,,0.0802323723342473,0.051155372038467,0.0488069401873574,0.0591971949375998
146,2008,37.60334,-110.0461,13.12,6.65,3.96,,,,
147,2008,37.60334,-110.0461,13.12,6.65,3.96,,,,
148,2008,37.60334,-110.0461,13.12,6.65,2.89,,,,
149,2008,37.60334,-110.0461,13.12,6.65,2.89,,,,
150,2008,37.60334,-110.0461,,,,0.130804732029025,0.0802726412484739,0.0488569426504015,0.0505850760112459
151,2009,37.60334,-110.0461,5.99,2.48,5.99,,,,
152,2009,37.60334,-110.0461,,,,0.109603793218551,0.0669888645190818,0.0465783586211246,0.0505246497748492
153,2010,37.60334,-110.0461,12.04,9.85,9.85,,,,
154,2010,37.60334,-110.0461,,,,0.061556462897396,0.0868905471232474,0.0545919594315141,0.0591103455427819
155,2011,37.60334,-110.0461,5.5,5.66,,,,,
156,2011,37.60334,-110.0461,,,,0.0788907699082487,0.0571446720136383,0.0470982178820736,0.059927432313992
157,2012,37.60334,-110.0461,5.47,6.7,2.0,,,,
158,2012,37.60334,-110.0461,5.47,6.7,2.0,,,,
159,2012,37.60334,-110.0461,5.47,6.7,4.07,,,,
160,2012,37.60334,-110.0461,5.47,6.7,4.07,,,,
161,2012,37.60334,-110.0461,,,,0.0795949192921018,0.055837588838378,0.050167658598691,0.0522575336223537
162,2013,37.60334,-110.0461,7.25,7.91,7.25,,,,
163,2013,37.60334,-110.0461,,,,0.0971175355525025,0.0687265594770458,0.05126189241454,0.105582477489266
164,2014,37.60334,-110.0461,3.92,6.9,6.9,,,,
165,2014,37.60334,-110.0461,,,,0.112578413676491,0.0590575724898643,0.0491765550040903,0.0644036184538889
166,2015,37.60334,-110.0461,7.25,13.03,,,,,
167,2015,37.60334,-110.0461,,,,0.0810972225035013,0.076895876277968,0.0545758928379093,0.100107469563379
168,2016,37.60334,-110.0461,6.89,6.91,5.4,,,,
169,2016,37.60334,-110.0461,6.89,6.91,5.4,,,,
170,2016,37.60334,-110.0461,6.89,6.91,4.94,,,,
171,2016,37.60334,-110.0461,6.89,6.91,4.94,,,,
172,2016,37.60334,-110.0461,,,,0.117570933680509,0.0743250439946672,0.0492903395392854,0.0515992160079814
173,2017,37.60334,-110.0461,9.64,6.1,9.64,,,,
174,2017,37.60334,-110.0461,,,,0.107718723400583,0.071980507148393,0.0478476237689201,0.0481926806191804
175,2018,37.60334,-110.0461,2.67,4.48,4.48,,,,
176,2018,37.60334,-110.0461,,,,0.051002288724323,0.0476930354245441,0.0471587782060969,0.0966596747556216
177,1980,37.60308,-110.0458,13.79,2.69,,,,,
178,1980,37.60308,-110.0458,,,,0.1125423,0.0951309,0.04722284,0.05503779
179,1981,37.60308,-110.0458,2.25,9.39,9.39,,,,
180,1981,37.60308,-110.0458,2.25,9.39,9.39,,,,
181,1981,37.60308,-110.0458,2.25,9.39,2.25,,,,
182,1981,37.60308,-110.0458,2.25,9.39,2.25,,,,
183,1981,37.60308,-110.0458,,,,0.05269702,0.05841043,0.04813978,0.08501848
184,1982,37.60308,-110.0458,4.12,9.5,,,,,
185,1982,37.60308,-110.0458,,,,0.08576663,0.05491365,0.0507799,0.06548289
186,1983,37.60308,-110.0458,7.09,10.22,10.4,,,,
187,1983,37.60308,-110.0458,7.09,10.22,10.4,,,,
188,1983,37.60308,-110.0458,7.09,10.22,10.8,,,,
189,1983,37.60308,-110.0458,7.09,10.22,10.8,,,,
190,1983,37.60308,-110.0458,,,,0.1002386,0.1054955,0.04961535,0.06707002
191,1984,37.60308,-110.0458,4.77,9.49,,,,,
192,1984,37.60308,-110.0458,,,,0.09086737,0.05427553,0.04864032,0.06668088
193,1985,37.60308,-110.0458,7.66,4.81,4.81,,,,
194,1985,37.60308,-110.0458,7.66,4.81,4.81,,,,
195,1985,37.60308,-110.0458,7.66,4.81,7.66,,,,
196,1985,37.60308,-110.0458,7.66,4.81,7.66,,,,
197,1985,37.60308,-110.0458,,,,0.09409728,0.08966484,0.04887825,0.1048088
198,1986,37.60308,-110.0458,2.19,9.85,,,,,
199,1986,37.60308,-110.0458,,,,0.1123507,0.06203127,0.04956617,0.09806057
200,1987,37.60308,-110.0458,6.03,11.04,6.14,,,,
201,1987,37.60308,-110.0458,6.03,11.04,6.14,,,,
202,1987,37.60308,-110.0458,6.03,11.04,11.14,,,,
203,1987,37.60308,-110.0458,6.03,11.04,11.14,,,,
204,1987,37.60308,-110.0458,,,,0.1262904,0.07942915,0.05356448,0.08388164
205,1988,37.60308,-110.0458,5.44,7.98,,,,,
206,1988,37.60308,-110.0458,,,,0.1148069,0.07162408,0.04782203,0.05229175
207,1989,37.60308,-110.0458,5.13,6.69,6.69,,,,
208,1989,37.60308,-110.0458,5.13,6.69,6.69,,,,
209,1989,37.60308,-110.0458,5.13,6.69,5.13,,,,
210,1989,37.60308,-110.0458,5.13,6.69,5.13,,,,
211,1989,37.60308,-110.0458,,,,0.05276999,0.05275253,0.04900289,0.04676106
212,1990,37.60308,-110.0458,3.52,5.41,,,,,
213,1990,37.60308,-110.0458,,,,0.04856742,0.04887659,0.04728335,0.06855426
214,1991,37.60308,-110.0458,4.85,6.39,10.0,,,,
215,1991,37.60308,-110.0458,4.85,6.39,10.0,,,,
216,1991,37.60308,-110.0458,4.85,6.39,4.79,,,,
217,1991,37.60308,-110.0458,4.85,6.39,4.79,,,,
218,1991,37.60308,-110.0458,,,,0.06126353,0.05905982,0.04758817,0.07318981
219,1992,37.60308,-110.0458,6.39,5.95,,,,,
220,1992,37.60308,-110.0458,,,,0.1098009,0.08374066,0.04761423,0.05988632
221,1993,37.60308,-110.0458,13.81,5.55,13.81,,,,
222,1993,37.60308,-110.0458,13.81,5.55,13.81,,,,
223,1993,37.60308,-110.0458,13.81,5.55,5.55,,,,
224,1993,37.60308,-110.0458,13.81,5.55,5.55,,,,
225,1993,37.60308,-110.0458,,,,0.1003155,0.0917844,0.04831128,0.0685761
226,1994,37.60308,-110.0458,3.23,2.56,,,,,
227,1994,37.60308,-110.0458,,,,0.05830934,0.05181885,0.04645906,0.05924203
228,1995,37.60308,-110.0458,7.22,6.76,2.11,,,,
229,1995,37.60308,-110.0458,7.22,6.76,2.11,,,,
230,1995,37.60308,-110.0458,7.22,6.76,12.48,,,,
231,1995,37.60308,-110.0458,7.22,6.76,12.48,,,,
232,1995,37.60308,-110.0458,,,,0.0956174,0.08682369,0.04776442,0.04749851
233,1996,37.60308,-110.0458,2.93,4.72,,,,,
234,1996,37.60308,-110.0458,,,,0.05065696,0.04765941,0.04705126,0.07673271
235,1997,37.60308,-110.0458,8.04,9.18,8.04,,,,
236,1997,37.60308,-110.0458,8.04,9.18,8.04,,,,
237,1997,37.60308,-110.0458,8.04,9.18,9.18,,,,
238,1997,37.60308,-110.0458,8.04,9.18,9.18,,,,
239,1997,37.60308,-110.0458,,,,0.1268488,0.08423247,0.0537812,0.066229
240,1998,37.60308,-110.0458,5.19,5.69,,,,,
241,1998,37.60308,-110.0458,,,,0.06983575,0.05267991,0.04806637,0.08931959
242,1999,37.60308,-110.0458,2.66,14.56,2.0,,,,
243,1999,37.60308,-110.0458,2.66,14.56,2.0,,,,
244,1999,37.60308,-110.0458,2.66,14.56,7.29,,,,
245,1999,37.60308,-110.0458,2.66,14.56,7.29,,,,
246,1999,37.60308,-110.0458,,,,0.1130962,0.06079191,0.05370303,0.047297
247,2000,37.60308,-110.0458,5.1,4.78,,,,,
248,2000,37.60308,-110.0458,,,,0.0608789,0.05809469,0.04673586,0.08266886
249,2001,37.60308,-110.0458,6.24,8.13,6.24,,,,
250,2001,37.60308,-110.0458,6.24,8.13,6.24,,,,
251,2001,37.60308,-110.0458,6.24,8.13,8.13,,,,
252,2001,37.60308,-110.0458,6.24,8.13,8.13,,,,
253,2001,37.60308,-110.0458,,,,0.1051198,0.08146462,0.04895062,0.04797892
254,2002,37.60308,-110.0458,2.21,3.0,,,,,
255,2002,37.60308,-110.0458,,,,0.05878622,0.04680389,0.0464505,0.08112428
256,2003,37.60308,-110.0458,5.99,5.4,4.07,,,,
257,2003,37.60308,-110.0458,5.99,5.4,4.07,,,,
258,2003,37.60308,-110.0458,5.99,5.4,9.38,,,,
259,2003,37.60308,-110.0458,5.99,5.4,9.38,,,,
260,2003,37.60308,-110.0458,,,,0.05894226,0.06810734,0.04746865,0.07668074
261,2004,37.60308,-110.0458,6.1,2.76,,,,,
262,2004,37.60308,-110.0458,,,,0.07675958,0.05688923,0.04671683,0.09912555
263,2005,37.60308,-110.0458,13.1,8.14,13.1,,,,
264,2005,37.60308,-110.0458,13.1,8.14,13.1,,,,
265,2005,37.60308,-110.0458,13.1,8.14,8.14,,,,
266,2005,37.60308,-110.0458,13.1,8.14,8.14,,,,
267,2005,37.60308,-110.0458,,,,0.1451871,0.08536222,0.04940809,0.05806911
268,2006,37.60308,-110.0458,1.83,7.13,,,,,
269,2006,37.60308,-110.0458,,,,0.04955138,0.06508247,0.04755971,0.1020317
270,2007,37.60308,-110.0458,3.39,7.59,5.91,,,,
271,2007,37.60308,-110.0458,3.39,7.59,5.91,,,,
272,2007,37.60308,-110.0458,3.39,7.59,4.93,,,,
273,2007,37.60308,-110.0458,3.39,7.59,4.93,,,,
274,2007,37.60308,-110.0458,,,,0.0825413,0.05094863,0.04841814,0.05547855
275,2008,37.60308,-110.0458,13.12,6.65,,,,,
276,2008,37.60308,-110.0458,,,,0.1143568,0.08342478,0.04841238,0.04967743
277,2009,37.60308,-110.0458,5.99,2.48,2.48,,,,
278,2009,37.60308,-110.0458,5.99,2.48,2.48,,,,
279,2009,37.60308,-110.0458,5.99,2.48,5.99,,,,
280,2009,37.60308,-110.0458,5.99,2.48,5.99,,,,
281,2009,37.60308,-110.0458,,,,0.09328256,0.05856141,0.04660569,0.04947516
282,2010,37.60308,-110.0458,12.04,9.85,,,,,
283,2010,37.60308,-110.0458,,,,0.05799697,0.08754681,0.05298312,0.05562157
284,2011,37.60308,-110.0458,5.5,5.66,6.08,,,,
285,2011,37.60308,-110.0458,5.5,5.66,6.08,,,,
286,2011,37.60308,-110.0458,5.5,5.66,7.0,,,,
287,2011,37.60308,-110.0458,5.5,5.66,7.0,,,,
288,2011,37.60308,-110.0458,,,,0.06918707,0.05282998,0.04705384,0.05652011
289,2012,37.60308,-110.0458,5.47,6.7,,,,,
290,2012,37.60308,-110.0458,,,,0.06927278,0.05165706,0.04952385,0.05114143
291,2013,37.60308,-110.0458,7.25,7.91,7.91,,,,
292,2013,37.60308,-110.0458,7.25,7.91,7.91,,,,
293,2013,37.60308,-110.0458,7.25,7.91,7.25,,,,
294,2013,37.60308,-110.0458,7.25,7.91,7.25,,,,
295,2013,37.60308,-110.0458,,,,0.08796739,0.06543766,0.05027812,0.1053001
296,2014,37.60308,-110.0458,3.92,6.9,,,,,
297,2014,37.60308,-110.0458,,,,0.1049127,0.05680802,0.0487873,0.05970749
298,2015,37.60308,-110.0458,7.25,13.03,10.85,,,,
299,2015,37.60308,-110.0458,7.25,13.03,10.85,,,,
300,2015,37.60308,-110.0458,7.25,13.03,7.23,,,,
301,2015,37.60308,-110.0458,7.25,13.03,7.23,,,,
302,2015,37.60308,-110.0458,,,,0.07159985,0.06667647,0.05312289,0.08839554
303,2016,37.60308,-110.0458,6.89,6.91,,,,,
304,2016,37.60308,-110.0458,,,,0.1087552,0.07547291,0.04883915,0.05034735
305,2017,37.60308,-110.0458,9.64,6.1,6.1,,,,
306,2017,37.60308,-110.0458,9.64,6.1,6.1,,,,
307,2017,37.60308,-110.0458,9.64,6.1,9.64,,,,
308,2017,37.60308,-110.0458,9.64,6.1,9.64,,,,
309,2017,37.60308,-110.0458,,,,0.09681618,0.0740301,0.04767844,0.04782335
310,2018,37.60308,-110.0458,2.67,4.48,,,,,
311,2018,37.60308,-110.0458,,,,0.0497087,0.04763579,0.04714635,0.09729217
312,1980,37.60519,-110.0393,,,,0.1461455,0.0886489,0.05222485,0.07599309
313,1980,37.60519,-110.0393,13.79,2.69,2.69,,,,
314,1980,37.60519,-110.0393,13.79,2.69,2.69,,,,
315,1980,37.60519,-110.0393,13.79,2.69,6.37,,,,
316,1980,37.60519,-110.0393,13.79,2.69,6.37,,,,
317,1981,37.60519,-110.0393,,,,0.06705714,0.0774748,0.0539287,0.1014659
318,1981,37.60519,-110.0393,2.25,9.39,,,,,
319,1982,37.60519,-110.0393,,,,0.1137354,0.07065412,0.05925386,0.09915376
320,1982,37.60519,-110.0393,4.12,9.5,4.12,,,,
321,1982,37.60519,-110.0393,4.12,9.5,4.12,,,,
322,1982,37.60519,-110.0393,4.12,9.5,9.83,,,,
323,1982,37.60519,-110.0393,4.12,9.5,9.83,,,,
324,1983,37.60519,-110.0393,,,,0.1475845,0.09925943,0.0573964,0.09260927
325,1983,37.60519,-110.0393,7.09,10.22,10.8,,,,
326,1984,37.60519,-110.0393,,,,0.1274918,0.06793413,0.05531376,0.09223043
327,1984,37.60519,-110.0393,4.77,9.49,9.49,,,,
328,1985,37.60519,-110.0393,,,,0.124873,0.1024011,0.05579899,0.1104044
329,1985,37.60519,-110.0393,7.66,4.81,9.98,,,,
330,1986,37.60519,-110.0393,,,,0.1017067,0.06455917,0.0574896,0.1175569
331,1986,37.60519,-110.0393,2.19,9.85,12.99,,,,
332,1986,37.60519,-110.0393,2.19,9.85,12.99,,,,
333,1986,37.60519,-110.0393,2.19,9.85,2.19,,,,
334,1986,37.60519,-110.0393,2.19,9.85,2.19,,,,
335,1987,37.60519,-110.0393,,,,0.1254064,0.08534054,0.06354509,0.09627811
336,1987,37.60519,-110.0393,6.03,11.04,,,,,
337,1988,37.60519,-110.0393,,,,0.1047796,0.07910918,0.05346334,0.0681081
338,1988,37.60519,-110.0393,5.44,7.98,5.64,,,,
339,1989,37.60519,-110.0393,,,,0.06522624,0.07212027,0.05656375,0.05173804
340,1989,37.60519,-110.0393,5.13,6.69,6.69,,,,
341,1990,37.60519,-110.0393,,,,0.05594675,0.05817454,0.05256306,0.1005508
342,1990,37.60519,-110.0393,3.52,5.41,3.52,,,,
343,1990,37.60519,-110.0393,3.52,5.41,3.52,,,,
344,1990,37.60519,-110.0393,3.52,5.41,10.82,,,,
345,1990,37.60519,-110.0393,3.52,5.41,10.82,,,,
346,1991,37.60519,-110.0393,,,,0.08992534,0.08850391,0.05278792,0.097476
347,1991,37.60519,-110.0393,4.85,6.39,,,,,
348,1992,37.60519,-110.0393,,,,0.103578,0.08904649,0.05305294,0.08634561
349,1992,37.60519,-110.0393,6.39,5.95,10.09,,,,
350,1993,37.60519,-110.0393,,,,0.1257597,0.08411056,0.05510554,0.1002014
351,1993,37.60519,-110.0393,13.81,5.55,,,,,
352,1994,37.60519,-110.0393,,,,0.07738978,0.0634513,0.05041226,0.08533001
353,1994,37.60519,-110.0393,3.23,2.56,3.23,,,,
354,1995,37.60519,-110.0393,,,,0.1408259,0.07922416,0.05336432,0.05383881
355,1995,37.60519,-110.0393,7.22,6.76,12.48,,,,
356,1995,37.60519,-110.0393,7.22,6.76,12.48,,,,
357,1995,37.60519,-110.0393,7.22,6.76,6.76,,,,
358,1995,37.60519,-110.0393,7.22,6.76,6.76,,,,
359,1996,37.60519,-110.0393,,,,0.06320261,0.05318919,0.05172816,0.1083641
360,1996,37.60519,-110.0393,2.93,4.72,,,,,
361,1997,37.60519,-110.0393,,,,0.1440048,0.08230924,0.06274232,0.09481407
362,1997,37.60519,-110.0393,8.04,9.18,5.47,,,,
