,year,precipitation_winter,precipitation_summer,precipitation_annual,volwater_winter,volwater_spring,volwater_summer,volwater_fall
31,2011,6.241196172248804,5.916459330143541,6.507065868263473,0.10803013215103206,0.09862464648956723,0.0658877823734508,0.08066081574149786
32,2012,5.8504198473282445,7.049160305343511,4.752654867256637,0.10829592049606235,0.09107856809900504,0.0680273971759007,0.07334060807869461
33,2013,7.841457489878543,8.561255060728746,8.703175355450236,0.10938313177111718,0.09786824954977424,0.06873057977045421,0.14357377369778765
34,2014,4.027469387755102,7.386530612244898,5.926067961165049,0.15695034844019695,0.1129225152379221,0.06834358770348264,0.0903798704524344
35,2015,7.326775700934579,13.61004672897196,10.065847953216375,0.1082052136553819,0.10594941294141207,0.07253104418329609,0.10791872325100617
36,2016,7.122674418604651,7.617325581395349,6.238310502283105,0.1366726665027581,0.11664647169600803,0.06851635427983448,0.0706557728924993
37,2017,9.746487603305786,6.789132231404959,5.9694174757281555,0.12431772098415407,0.10575477219216496,0.06661184925862461,0.06766425573274676
38,2018,2.8097520661157027,4.759876033057852,5.88375,0.07100445647770678,0.06786085544154566,0.06539685464371787,0.1130328260987496
39,2021,8.324179262234436,7.457742310537998,8.043604200525065,0.13647798949388626,0.11791700592727611,0.06890382917645518,0.09505209046842715
40,2022,6.488575186783121,6.944497527096706,7.189038964272377,0.12557544379060684,0.10954332652422398,0.0684246982431617,0.09026309985773023
41,2023,7.535781810508546,8.516300907364423,8.53604938271605,0.1258221264393973,0.11061997836332883,0.07078987928135975,0.10032572918334409
42,2024,7.0840773305084745,6.782338983050847,7.736914077242421,0.13350388301607682,0.11472701775397771,0.06960376877963793,0.09717466675471997
